Count	Full_date	Port	Ship
29	05/29/1918	Tampico, Mexico	City of Everett
29	05/29/1918	Rotterdam, Holland	Tunisie
25	05/29/1918	Matanzas, Cuba	San Remo
15	05/29/1918	Buenos Aires	Sudal
10	05/29/1918	Tampico, Mexico	Socony
5	05/29/1918	Schulles, N. S.	John Bracewell
259	05/30/1918	Santos	Caxias
225	05/30/1918	Genova	Giuseppe Verdi
212	05/30/1918	Genoa, Italy	Giuseppe Verdi
201	05/30/1918	Cristobal, Canal Zone	Panama
192	05/30/1918	Havana	Mexico
138	05/30/1918	Kingston	Zacapa
103	05/30/1918	Genoa	Giuseppe Verdi
62	05/30/1918	San Juan, Puerto Rico	Philadelphia (1885)
57	05/30/1918	Hull, England	Toronto
56	05/30/1918	Le Havre	Lydie
45	05/30/1918	Cristobal, Canal Zone	Zacapa
31	05/30/1918	Gibraltar	Giuseppe Verdi
28	05/30/1918	Liverpool	Aquitania
27	05/30/1918	Palamos, Spain	Carasa
27	05/30/1918	Rio de Janeiro via St. Thomas	Graccia
24	05/30/1918	Caibarien	Tula
22	05/30/1918	Barbados, British West Indies	Caxias
22	05/30/1918	La Guaira, Venezuela	Philadelphia (1885)
20	05/30/1918	Buenos Aires	Margarita
14	05/30/1918	Curacao, DWI	Philadelphia (1885)
11	05/30/1918	Puerto Colombia, Colombia	Zacapa
9	05/30/1918	Cristobal via Port Au Prince	Panama
7	05/30/1918	Santa Cruz, Cuba	Georgia D. Jenkins
6	05/30/1918	Port au Prince, Haiti	Panama
5	05/30/1918	Nova Scotia	Genevieve
5	05/30/1918	Puerto Cabello, Venezuela	Philadelphia (1885)
5	05/30/1918	Cartagena, Colombia	Zacapa
4	05/30/1918	Parrsboro, Nova Scotia	Vineyard
3	05/30/1918	Cartagena, Pto. Columbia,(see notes)	Zacapa
1	05/30/1918	Rio de Janeiro	Graccia
1	05/30/1918	Caibarien, Cuba	Tula
40	05/31/1918	Marseilles, France	Fenchurch
34	05/31/1918	Gothenburg, Sweden	Carlsholm
25	05/31/1918	Gothenburg, Sweden	Inland
23	05/31/1918	Cape Town, South Africa	Uppland
21	05/31/1918	Puerto Colombia, Colombia	Knud II
20	05/31/1918	Jucaro, Cuba	Danebod
18	05/31/1918	San Pedro de Macoris, Dominican Republic	Grove
3	05/31/1918	Tampico, Mexico	Edward L. Doheny
1	05/31/1918	Havre	Pleiades
1	05/31/1918	Buenos Aires	Vandyck
1	05/31/1918	Bordeaux, France	Westward Ho
64	06/01/1918	Calcutta, India	Golden Gate
43	06/01/1918	Plymouth	Wisley
36	06/01/1918	Sierra Leone	Atlanten
34	06/01/1918	Port Azua	Watauga
24	06/01/1918	Havana and Cienfuegos, Cuba	Bris
21	06/01/1918	Cardenas, Cuba	Frederiksborg
20	06/01/1918	Tampico, Mexico	Harold Walker
20	06/01/1918	Progreso, Yucatan, Mexico	Roald Jarl
9	06/01/1918	Rio Hacha, Colombia	Esther Adelaide
7	06/01/1918	Barahona, San Domingo	Damietta and Joanna
6	06/01/1918	Hamilton, Bermuda	Industrial
1	06/01/1918	Guanica, Puerto Rico	Pluto
1	06/01/1918	Port Azu	Watauga
1	06/01/1918	Porta Azua	Watauga
1	06/01/1918	Hamilton, Bermuda	Princess
514	06/02/1918	Liverpool	Megantic
458	06/02/1918	Liverpool	Carmania
88	06/02/1918	Bocas Del Toro & Cristobal C.Z.	Heredia
77	06/02/1918	Plymouth	City of Rangoon
58	06/02/1918	Glasgow	Gymeric
55	06/02/1918	Bordeaux	Hudson
43	06/02/1918	Plymouth, England	Petroleine
32	06/02/1918	Cardenas, Cuba	Island
22	06/02/1918	Banes, Cuba	Ottar
16	06/02/1918	Cristobal, C.Z. and Havana, Cuba	Heredia
15	06/02/1918	Bahia, Brazil	Tune
14	06/02/1918	Buenos Aires	Oakley C. Curtis
4	06/02/1918	Bahia	Tune
1	06/02/1918	San Juan, Puerto Rico	Hercules
1	06/02/1918	Havana	Heredia
1	06/02/1918	Havana, Cuba	Heredia
1	06/02/1918	Havana	Morro Castle
335	06/03/1918	Liverpool	Missanabie
211	06/03/1918	Liverpool	Grampian
161	06/03/1918	Hamilton, Bermuda	Charybdis
144	06/03/1918	Liverpool	Anchises
75	06/03/1918	Plymouth	Tsuruga Maru
75	06/03/1918	Plymouth	Tsuruga Maru
49	06/03/1918	NA	Olivant
43	06/03/1918	Progreso, Yucatan, Mexico	Esperanza
35	06/03/1918	Nantes, France	Sygna
34	06/03/1918	Savona, Italy via Gibraltar	Polarine
33	06/03/1918	Kingston	Amelia
33	06/03/1918	Cananova, Cuba	Annetta
33	06/03/1918	Vera Cruz, Mexico	Esperanza
31	06/03/1918	Puerte Padre, Cuba	Mexicano
30	06/03/1918	Havana	Esperanza
30	06/03/1918	Malaga	Matienzo
27	06/03/1918	Gibraltar	Mars
22	06/03/1918	Guanoco,Venezuela	Nepos
20	06/03/1918	Santa Lucia, Cuba	Harald
13	06/03/1918	Tampico, Mexico	Esperanza
9	06/03/1918	Plymouth	Tsuyama Maru
2	06/03/1918	Havana and Mexico	Esperanza
217	06/04/1918	Liverpool	Corsican
181	06/04/1918	Liverpool	Leicestershire
73	06/04/1918	Newcastle	Saranac
71	06/04/1918	United States	Lancastrian
19	06/04/1918	Guantanamo	Bryssel
18	06/04/1918	San Juan, Puerto Rico	Carolina
13	06/04/1918	Puerto Rico	Carolina
1	06/04/1918	Iquique, Chile	Hesperos
1	06/04/1918	Havana	W.M. Tupper
1	06/04/1918	Liverpool	Corsica
1	06/04/1918	Genoa	Owego
722	06/05/1918	Bordeaux	Espagne
204	06/05/1918	Brest, France	Dante Alighieri
180	06/05/1918	Cristobal via Haiti	Colon
38	06/05/1918	Port Arthur, Texas	Golaa
34	06/05/1918	Halifax	Saranac
30	06/05/1918	Cartagena, Colombia	Paris
24	06/05/1918	Cristobal via Port Au Prince	Colon
23	06/05/1918	Matanzas, Cuba	Russ
21	06/05/1918	Santa Lucia, Cuba	Meta
20	06/05/1918	Matanzas, Cuba	T.M. Werner
12	06/05/1918	Buenos Aires	Vidylia
4	06/05/1918	Colon, Panama	Colon
1	06/05/1918	Buenos Aires, Argentina	Oakley C. Curtis
1	06/05/1918	Buenos Aires, Argentina	Vidylia
1	06/05/1918	Antilla, Cuba	Munamar
265	06/06/1918	Liverpool	Canopic
97	06/06/1918	Genoa	San Giorgio
93	06/06/1918	Leghorn, Naples, Palermo & Gibraltar	Italia
61	06/06/1918	Gibraltar	Italia
50	06/06/1918	United States	Mirlo
45	06/06/1918	Weymouth, England	Manchurian Prince
42	06/06/1918	Kingston	Carrillo
28	06/06/1918	Naples	Italia
23	06/06/1918	Santiago, Cuba	Carrillo
22	06/06/1918	Barsava and Cananova, Cuba	Catherine Cuneo
20	06/06/1918	Cardenas, Cuba	Harriet
20	06/06/1918	Santiago, Cuba	Rosenborg
19	06/06/1918	Eusinada di Maro, Cuba	Graafaxe
13	06/06/1918	Havana	Venus
6	06/06/1918	Cristobal, Canal Zone	Carrillo
6	06/06/1918	Puerto Colombia, Colombia	Carrillo
3	06/06/1918	Cartagena, Colombia	Carrillo
1	06/06/1918	Marseilles	Alanton
1	06/06/1918	Santa Marta, Colombia	Carrillo
1	06/06/1918	Cananova, Cuba	Catherine Cuneo
165	06/07/1918	New Castle	Huntsend
102	06/07/1918	Valencia, Spain	C. Lopez y Lopez
101	06/07/1918	Cadiz	C. Lopez y Lopez
42	06/07/1918	Barcelona, Spain	C. Lopez y Lopez
39	06/07/1918	Sierra Leone, West Africa	Shonga
36	06/07/1918	Malaga, Spain	C. Lopez y Lopez
30	06/07/1918	Calabar via Sa. Leone, W. Ca...	Egori
30	06/07/1918	Brenner, Cuba	Sassenheim
27	06/07/1918	Calabar via Sa Leone, W. C. Africa	Egori
27	06/07/1918	Bergen via Halifax	Olaf Kyrre
26	06/07/1918	Cadiz, Spain	C. Lopez y Lopez
25	06/07/1918	Havana, Cuba	Eidsvold
22	06/07/1918	Baracoa, Cuba	Clothilde Cuneo
10	06/07/1918	Cristobal, Canal Zone	General W.C. Gorgas
8	06/07/1918	St. Marc, Haiti	Bayard Hopkins
7	06/07/1918	Sierra Leone	Egori
7	06/07/1918	Sierra Leone, West Africa	Egori
7	06/07/1918	Bahari, Brazil via Barbadoes	Conrad S
3	06/07/1918	Naples	Hawaiian
1	06/07/1918	Naples, Italy	Hawaiian
44	06/08/1918	Southampton	Olympic
41	06/08/1918	Genoa, Italy	Splendor
31	06/08/1918	Mayaguez, Puerto Rico	Zulia
23	06/08/1918	Puerta Padre, Cuba	Absalon
14	06/08/1918	Maracaibo, Venezuela	Zulia
9	06/08/1918	La Guaira, Venezuela	Zulia
6	06/08/1918	Curacao, DWI	Zulia
2	06/08/1918	Saint Nazaire, France	Tanamo
604	06/09/1918	Bordeaux	La Lorraine
204	06/09/1918	London via Plymouth	Delta
101	06/09/1918	Kingston, Jamaica	Almirante
83	06/09/1918	Montreal & Halifax	Lycaon
65	06/09/1918	Grenada, British West Indies	Matura
43	06/09/1918	Milford Haven, England	Tarantia
39	06/09/1918	Rotterdam, Holland	Gouverneur de Lantsheere
36	06/09/1918	Bordeaux	New York
36	06/09/1918	Cristobal, Canal Zone	Artemis
36	06/09/1918	Santander, Spain	Mar Mediterraneo
30	06/09/1918	Port of Spain, Trinidad	Matura
12	06/09/1918	Trinidad, British West Indies	Matura
11	06/09/1918	Hantsport, Nova Scotia	J.A. Mumford
5	06/09/1918	Santa Marta, Colombia & Kingston,Jamaica	Almirante
4	06/09/1918	Cristobal via Haiti	General George W. Goethals
2	06/09/1918	Antifagasta, Chile	Artemis
1	06/09/1918	Kingston	Almirante
1	06/09/1918	United States	Caledonia
1	06/09/1918	Havana, Cuba	Olinda
1	06/09/1918	Hamburg	Reliance
1	06/09/1918	Demerara, British West Indies	Matura
144	06/10/1918	Cristobal, Canal Zone	Advance
121	06/10/1918	Liverpool	Anselm
108	06/10/1918	Havre, France	Avare
104	06/10/1918	Gibraltar	Orion
91	06/10/1918	Palermo	San Giovanni
79	06/10/1918	Kobe, Japan	Tottori Maru
62	06/10/1918	Gibraltar via Bermuda	Orion
50	06/10/1918	Bordeaux	Tunica
47	06/10/1918	Boston	Glenlee
47	06/10/1918	Antofagasta, Chile	Storviken
44	06/10/1918	Sama, Cuba	Taunton
38	06/10/1918	Bordeaux	Eastgate
34	06/10/1918	Hamilton, Bermuda	Clintonia
30	06/10/1918	Havre	Avare
22	06/10/1918	Bordeaux, France	Tunica
20	06/10/1918	Antilla, Cuba	Hans Maersk
18	06/10/1918	San Francisco via Panama Canal	Cacique
9	06/10/1918	Harboer Grace, N.S.	Alembic
6	06/10/1918	Palermo, Italy	San Giovanni
1	06/10/1918	Alexandria, Egypt	Bermuda
1	06/10/1918	Bordeaux, France	Eastgate
464	06/11/1918	Liverpool	Orduna
316	06/11/1918	Liverpool	Canada (1896)
134	06/11/1918	Marseilles	Patria
134	06/11/1918	Buenos Aires	Cuyaba
134	06/11/1918	Buenos Aires	Cuyaba
120	06/11/1918	Cristobal, Canal Zone	Allianca
113	06/11/1918	Liverpool	Elpenor
47	06/11/1918	Nanati, Cuba	Prins der Nederlanden
44	06/11/1918	Bordeaux	Bellatrix
41	06/11/1918	Marseilles, France	Patria
34	06/11/1918	Port Antonio, Jamaica	Belita
34	06/11/1918	Humacao, P R	Vesta
34	06/11/1918	Rouen, France	Socony
32	06/11/1918	Montevideo, Uraguay	Bjornefjord
25	06/11/1918	Halifax	San Mateo
24	06/11/1918	Gravesend, England	Vitruvia
22	06/11/1918	Causuova, Cuba	Clothilde Cuneo
21	06/11/1918	Gravesend	Vitruvia
17	06/11/1918	Buenos Aires, Argentina	Cuyaba
17	06/11/1918	Buenos Aires, Argentina	Cuyaba
17	06/11/1918	Montreal, Quebec, Canada	Mac Sin
12	06/11/1918	Gibraltar	Patria
1464	06/12/1918	Rotterdam, Holland	Nieuw Amsterdam
270	06/12/1918	Plymouth	Walmer Castle
200	06/12/1918	Sydney, NSW, Australia	Euripides
145	06/12/1918	Plymouth	Kinfauns Castle
79	06/12/1918	London via Rio de Janeiro, Bahiaia	Toyohashi Maru
62	06/12/1918	Lorient, France	Texas
52	06/12/1918	Bordeaux	Absaroka
41	06/12/1918	Nuevitas, Cuba	Olinda
41	06/12/1918	Naples and Halifax N S	Wico
41	06/12/1918	Havana And Charleston, S.C.	Morro Castle
34	06/12/1918	Cardiff, Wales	Pawnee
31	06/12/1918	Curacao, DWI	Juno
30	06/12/1918	Southampton via Plymouth	Kinfauns Castle
30	06/12/1918	Plymouth, England	Kinfauns Castle
26	06/12/1918	Lisbon, Portugal	Storaker
26	06/12/1918	Macoris	Yuma
20	06/12/1918	Oporto, Portugal	Brosund
20	06/12/1918	Progreso, Yucatan, Mexico	Hugo
8	06/12/1918	St. John, New Brunswick	Emily F. Northam
7	06/12/1918	Jamaica	Frances
6	06/12/1918	Sydney	Euripides
2	06/12/1918	London via Rio de Janeiro, Bahia	Toyohashi Maru
2	06/12/1918	Rio de Janeiro	Toyohashi Maru
1	06/12/1918	NA	Absaroka
1	06/12/1918	Havana via Charleston	Morro Castle
260	06/13/1918	Bordeaux	Niagara
71	06/13/1918	Matanzas, Cuba	Wacouta
40	06/13/1918	United States	Madrono
36	06/13/1918	Colon, Panama	Vindeggen
33	06/13/1918	Norfolk, Virginia	Henrik Lund
33	06/13/1918	Kingston	Manchioneal
31	06/13/1918	Santos, Brazil	Kentucky
24	06/13/1918	Cananova, Cuba	Commodore Rollins
24	06/13/1918	St. John's, Newfoundland	Portia
17	06/13/1918	Kingston, Jamaica	Manchioneal
7	06/13/1918	Rotterdam, Holland	Nieuw Amsterdam
6	06/13/1918	St. Marc, Haiti	Longfellow
189	06/14/1918	Havana	Mexico
92	06/14/1918	Curacao, DWI	Caracas
70	06/14/1918	Cristobal, Canal Zone	General George W. Goethals
54	06/14/1918	Gibraltar	Tintoretto
54	06/14/1918	Para, Brazil	Maranguape
45	06/14/1918	Bordeaux	Portuguese Prince
45	06/14/1918	Havana, Cuba	Mexico
44	06/14/1918	San Juan, Puerto Rico	Caracas
31	06/14/1918	Port au Prince	Imperator (1905)
30	06/14/1918	St Nazaire	Westward Ho
29	06/14/1918	La Guaira, Venezuela	Caracas
26	06/14/1918	Tuxpam, Mexico	Wellington
26	06/14/1918	Rosario	Mashona
24	06/14/1918	Jantes	Lorna
21	06/14/1918	Buenos Aires	Holdana
20	06/14/1918	Saint Nazaire, France	Westward Ho
18	06/14/1918	Nuevitas, Cuba	Prins Willem I
13	06/14/1918	Windsor, Nova Scotia	Daniel M. Munro
9	06/14/1918	Havana, Cuba	Meteror
6	06/14/1918	St. John, New Brunswick	Nettie Shipman
5	06/14/1918	Puerto Cabello, Venezuela	Caracas
4	06/14/1918	Guantanamo	Suriname
2	06/14/1918	Belize, British Honduras	Suriname
1	06/14/1918	Para	Maranguape
1	06/14/1918	Para	Maruguipa
741	06/15/1918	Liverpool	Scandinavian
202	06/15/1918	Saint Nazaire, France	Duca Degli Abruzzi
126	06/15/1918	Saint Nazaire, France	Re d Italia
97	06/15/1918	Kingston	Turrialba
87	06/15/1918	New Orleans, Louisiana	Parismina
47	06/15/1918	Bordeaux	Anglo Mexican
38	06/15/1918	Kristiania, Norway	Drammensfjord
37	06/15/1918	Brest, France	Manitowoc
34	06/15/1918	Puerto Padre, Cuba	Lakeland
33	06/15/1918	Tampico, Mexico	H.H. Rogers
30	06/15/1918	Cardenas, Cuba	Ryswyk
29	06/15/1918	Havana, Cuba	Parismina
29	06/15/1918	Kingston, Jamaica	Turrialba
25	06/15/1918	Cartagena, Colombia	Turrialba
23	06/15/1918	Marseilles	Commandant Dorise
17	06/15/1918	Cristobal, Canal Zone	Parismina
14	06/15/1918	Vuevitos, Cuba	Adonis
12	06/15/1918	Cristobal, Canal Zone	Turrialba
11	06/15/1918	Grand Sahan, W. Africa	Dagmar
10	06/15/1918	Santos, Brazil	Horace A. Stone
7	06/15/1918	Santos, Brazil	A.F. Davison
7	06/15/1918	Bahai, Brazil	Sunset Glow
4	06/15/1918	Cuba	Ryswyk
4	06/15/1918	Puerto Colombia, Colombia	Turrialba
2	06/15/1918	Grand Lahon, W. Africa	Dagmar
1	06/15/1918	Santa Marta, Colombia	Turrialba
359	06/16/1918	Vancouver, British Columbia, Canada	Empress of Asia
135	06/16/1918	San Juan, Puerto Rico	Coamo
37	06/16/1918	Nautis, France	River Orontes
36	06/16/1918	San Juan, Puerto Rico	Helen
33	06/16/1918	Antofagasta, Chile	Oregon
31	06/16/1918	St. John, New Brunswick	Dicto
31	06/16/1918	Matanzas, Cuba	Munorway
30	06/16/1918	Brest, France via Plymouth, England	Charles E. Harwood
28	06/16/1918	Bilboa	Gloria
21	06/16/1918	Bonizaires	Bennerstret
21	06/16/1918	Sagua La Grande, Cuba	Anna Maersk
6	06/16/1918	Mayaguez, Puerto Rico	Anna M. Hudson
4	06/16/1918	Brest via Plymouth	Charles E. Harwood
1	06/16/1918	Nawtis, France	River Orontes
130	06/17/1918	Hamilton, Bermuda	Charybdis
64	06/17/1918	Barbados, British West Indies	Parima
32	06/17/1918	St. Kitts, B.W.I.	Parima
30	06/17/1918	Bordeaux, France	Dipton
15	06/17/1918	St. Thomas, Virgin Islands	Parima
9	06/17/1918	Buenos Aires	Luther Little
8	06/17/1918	Para, Brazil	Edwin G. Farrar
8	06/17/1918	St. Croix, Virgin Islands	Parima
7	06/17/1918	Dominica	Parima
7	06/17/1918	Guadalupe, French West Indies	Parima
5	06/17/1918	Antigua, British West Indies	Parima
4	06/17/1918	Martinique, French West Indies	Parima
3	06/17/1918	St. Lucia, B.W.I.	Parima
1	06/17/1918	Dominica, B.W.I.	Parima
210	06/18/1918	Liverpool	Belgic
123	06/18/1918	Vera Cruz, Mexico	Monterey
45	06/18/1918	Havana	Monterey
37	06/18/1918	London via Devonport, England	Winnebago
35	06/18/1918	Bordeaux	King Edward
24	06/18/1918	Cienfuegos	Triton
20	06/18/1918	Puerto Padre, Cuba	Elisabeth Maersk
17	06/18/1918	Rosario	Kylemore
11	06/18/1918	Bahia, Brazil	Gardner J. Deering
11	06/18/1918	Tampico, Mexico	Monterey
6	06/18/1918	Progreso, Yucatan, Mexico	Monterey
330	06/19/1918	Liverpool	Metagama
246	06/19/1918	Barcelona, Spain	Montserrat
173	06/19/1918	Havana	Santa Marta
63	06/19/1918	London, Tilbury	Missouri
41	06/19/1918	Blaye, France	Luciline
34	06/19/1918	Valencia, Spain	Montserrat
28	06/19/1918	Rotterdam, Holland	Herm
26	06/19/1918	Jacaro, Cuba via Charleston, S.C.	Brighton
26	06/19/1918	Liverpool	Justicia
25	06/19/1918	Cadiz	Montserrat
23	06/19/1918	Buenos Aires	Johan Ludwig Mowinckel
22	06/19/1918	Barcelona	Montserrat
16	06/19/1918	Port Limon, Costa Rica	Santa Marta
11	06/19/1918	Malaga, Spain	Montserrat
2	06/19/1918	Costa Rica	Santa Marta
1	06/19/1918	Santiago & Jucaro, Cuba	Brighton
264	06/20/1918	Liverpool	Cretic
256	06/20/1918	Liverpool	Saxon
185	06/20/1918	Liverpool	Nestor
168	06/20/1918	San Juan, Puerto Rico	Brazos
105	06/20/1918	Liverpool	Mentor
59	06/20/1918	United States	Araluen
31	06/20/1918	Rotterdam, Holland	Tricolor
30	06/20/1918	London Via Plymouth	British Sovereign
27	06/20/1918	Santa Marta, Colombia	Sosua
22	06/20/1918	Nuevitas, Cuba	Ribe
21	06/20/1918	Antilla, Cuba	Niels R. Finsen
21	06/20/1918	Plymouth	British Sovereign
19	06/20/1918	Matanzas via Key West	Oluf Maersk
18	06/20/1918	Vita, Cuba	Aggersborg
8	06/20/1918	Walton, Nova Scotia, Canada	Don Parsons
196	06/21/1918	Brest, France	America
194	06/21/1918	Cardiff	Plassy
161	06/21/1918	Liverpool	Demosthenes
145	06/21/1918	Liverpool	Hororata
43	06/21/1918	Cette, France	Overbrook
32	06/21/1918	Piraeus Greece	Parthian
28	06/21/1918	Puerto Rico	Maracaibo
20	06/21/1918	Cardenas, Cuba	Alfred Hage
18	06/21/1918	Buenos Aires	Indian Girl
520	06/22/1918	Kristiania, Norway	Bergensfjord
264	06/22/1918	Christiania	Bergensfjord
138	06/22/1918	Hull, England	Medic
64	06/22/1918	Dominican Ports via Turks Island	Algonquin
48	06/22/1918	Plymouth, England	Wimborne
46	06/22/1918	Halifax, Nova Scotia	Iroquois
40	06/22/1918	Bristol, England	New York City
31	06/22/1918	La Plata, Argentine	Sark
30	06/22/1918	Beest, France	Satsuma
30	06/22/1918	Havre, France	Wallace
23	06/22/1918	Jucaro, Cuba	Kapana
12	06/22/1918	Brest, France	Satsuma
8	06/22/1918	Havre	Wallace
7	06/22/1918	Santo Domingo City	Algonquin
5	06/22/1918	Puerto Plata, Dominican Republic	Algonquin
5	06/22/1918	Turks Island, British West Indies	Algonquin
418	06/23/1918	Bordeaux	Chicago
288	06/23/1918	Marseilles, France	Lutetian
53	06/23/1918	Havre	Westfield
51	06/23/1918	Lisbon	Dondo
40	06/23/1918	Santiago, Cuba	Saramacca
37	06/23/1918	Santiago	Saramacca
36	06/23/1918	San Juan, Puerto Rico	Anna
30	06/23/1918	Tampico, Mexico	Brilliant
23	06/23/1918	Baracoa, Cuba	Skinfaxe
20	06/23/1918	Kingston	Saramacca
14	06/23/1918	Buenos Aires	Doon
10	06/23/1918	Tampico, Mexico	Socony
4	06/23/1918	Puerto Colombia, Colombia	Saramacca
2	06/23/1918	Baracoa, Cuba	Saramacca
2	06/23/1918	Santa Marta, Colombia	Saramacca
1	06/23/1918	United States	Andania
104	06/24/1918	United States	Benalla
85	06/24/1918	Bordeaux, France	Camaguey
50	06/24/1918	London & Plymouth	Teiresias
49	06/24/1918	London, England	Benalla
48	06/24/1918	Bordeaux, France	Burmese Prince
39	06/24/1918	La Pallice, France	Saint Stephen
38	06/24/1918	Amsterdam	Hector
34	06/24/1918	Nuevitas, Cuba	Paloma
30	06/24/1918	Tampico, Mexico	Comet
27	06/24/1918	Cienfuegos, Cuba	Danebrog
26	06/24/1918	Rotterdam, Holland	Comte de Flandre
25	06/24/1918	Rangoon, Calcutta and Calambo	Cleveland
10	06/24/1918	Tampico, Mexico	Socony
9	06/24/1918	Falmouth, Jamaica	Robert P. Murphy
9	06/24/1918	Bohia	Stanley M. Seaman
2	06/24/1918	Holland	Hector
1	06/24/1918	Rangoon Calcutta	Cleveland
1	06/24/1918	Bohia Near	Stanley M. Seaman
664	06/25/1918	Liverpool	Melita
630	06/25/1918	Liverpool	Cedric
74	06/25/1918	Port Au Prince	Oranje Nassau
65	06/25/1918	Liverpool	Mauretania
57	06/25/1918	Trinidad, British West Indies	Mayaro
44	06/25/1918	Tuxpam, Mexico	Standard
42	06/25/1918	Genoa	Lexington
39	06/25/1918	Port of Spain, Trinidad	Mayaro
38	06/25/1918	Gibraltar	Susana
32	06/25/1918	Rotterdam, Holland	President Bunge
31	06/25/1918	Spezia, Italy	Charles Braley
28	06/25/1918	Cristobal, Canal Zone	Penguin
23	06/25/1918	Puerto Colombia, Colombia	Wilhelm Colding
21	06/25/1918	San Pedro de Macoris, Dominican Republic	Harald
20	06/25/1918	Buenos Aires	Sterna
14	06/25/1918	Accra, West Africa	Bella Vista
9	06/25/1918	Curacao, DWI	Oranje Nassau
8	06/25/1918	Belize, British Honduras	M.A. Belliveau
7	06/25/1918	Bordeaux	Black Hawk
6	06/25/1918	Cap Haitien, Haiti	Henry H. Chamberlain
6	06/25/1918	Norfolk, Virginia	C. Alcott
5	06/25/1918	Grenada, British West Indies	Mayaro
3	06/25/1918	Demerara, British West Indies	Mayaro
1	06/25/1918	Paramaribo	Oranje Nassau
239	06/26/1918	Liverpool	Ceramic
227	06/26/1918	Liverpool	Scotian
184	06/26/1918	Liverpool	Karoa
131	06/26/1918	Liverpool	Armagh
95	06/26/1918	Cristobal, Canal Zone	General H.F. Hodges
52	06/26/1918	Saint Nazaire, France	Polglass Castle
37	06/26/1918	La Pallice, France	Trecarne
32	06/26/1918	Guantanamo	Kralingen
29	06/26/1918	Rotterdam, Holland	Jethou
27	06/26/1918	Sania, Cuba	Taunton
21	06/26/1918	Santiago via Manzanitto	Skanderborg
19	06/26/1918	Norfolk, Virginia	Fagersand
15	06/26/1918	Barbados, British West Indies	San Giuseppe
1	06/26/1918	Portland, England	Thespis
459	06/27/1918	Bordeaux	Rochambeau
245	06/27/1918	Havana	Morro Castle
125	06/27/1918	Liverpool	Toloa
99	06/27/1918	Havana, Cuba	Morro Castle
77	06/27/1918	Lisbon	Goa
70	06/27/1918	Orkney Islands	Brambleleaf
27	06/27/1918	Palamos, Spain	Serantes
23	06/27/1918	St. Johns, W. I.	Prospero
22	06/27/1918	Port Antonio, Jamaica	Belita
20	06/27/1918	La Granada	Harald
1	06/27/1918	St. John's, Newfoundland	Prospero
557	06/28/1918	Vancouver, British Columbia, Canada	Empress of Russia
190	06/28/1918	Liverpool	Kashmir
170	06/28/1918	Liverpool	Ulysses
83	06/28/1918	Rotterdam, Holland	Gothland
43	06/28/1918	Reykjavik, Iceland	Lagarfoss
25	06/28/1918	Rotterdam, Holland	Colombier
24	06/28/1918	Cananova, Cuba	Commodore Rollins
23	06/28/1918	St. John's, Newfoundland	Portia
1	06/28/1918	Buenos Aires, Argentina	Sark
125	06/29/1918	Kingston, Jamaica	Zacapa
77	06/29/1918	Havre	Atalaia
68	06/29/1918	Tuxpam, Mexico	W.C. Teagle
46	06/29/1918	Cristobal, Canal Zone	Zacapa
41	06/29/1918	Rouen, France	Mijdrecht
31	06/29/1918	Gothenburg, Sweden	Osterland
12	06/29/1918	Puerto Colombia, Colombia	Zacapa
3	06/29/1918	Santa Marta, Colombia	Zacapa
3	06/29/1918	Durban, South Africa	Atlantis
173	06/30/1918	Cristobal, Canal Zone	Ancon
57	06/30/1918	San Juan, Puerto Rico	Philadelphia (1885)
52	06/30/1918	San Juan, Puerto Rico	Prins Frederik Hendrik
47	06/30/1918	Curacao, DWI	Philadelphia (1885)
39	06/30/1918	Puerto Padre, Cuba	Poseidon
37	06/30/1918	La Guaira, Venezuela	Philadelphia (1885)
37	06/30/1918	Matanzas, Cuba	Sucrosa
34	06/30/1918	Rosyth, Scotland	Dayton
27	06/30/1918	Calcutta, India	Thyra
21	06/30/1918	Progreso, Yucatan, Mexico	Berlin
21	06/30/1918	Slatannas	Jomsborg
12	06/30/1918	Liverpool	Aquitania
5	06/30/1918	Cabello, Venezuela	Philadelphia (1885)
3	06/30/1918	Curacas	Philadelphia (1885)
1	06/30/1918	Colon, Panama	Ancon
1	06/30/1918	Port Padre, Cuba	Poseidon
312	07/01/1918	Liverpool	Briton
166	07/01/1918	Plymouth	Desna
117	07/01/1918	Genoa via Gibraltar	Regina d Italia
96	07/01/1918	Barcelona	Alicante
96	07/01/1918	Genoa	Regina d Italia
65	07/01/1918	Leghorn, Italy	Calabria
62	07/01/1918	Gibraltar	Andalusia
60	07/01/1918	Gibraltar	W.H. Tilford
50	07/01/1918	Valencia, Spain	Alicante
50	07/01/1918	West Indies	Korona
47	07/01/1918	Cadiz	Alicante
37	07/01/1918	Cardenas, Cuba	Bacchus
32	07/01/1918	Tampico, Mexico	Trontolite
28	07/01/1918	Bergen, Norway	Folkvard
25	07/01/1918	Barry Docks, Wales	Chilier
25	07/01/1918	Sagua La Grande, Cuba	Desna
25	07/01/1918	St. Kitts, B.W.I.	Korona
17	07/01/1918	Gibraltar, Spain	West Lake
17	07/01/1918	Veicivitas Cuba	Prins der Nederlanden
15	07/01/1918	Malaga, Spain	Alicante
15	07/01/1918	Roseford, France	City of Savannah
6	07/01/1918	St. Thomas	Korona
5	07/01/1918	Barcelona, Spain	Alicante
4	07/01/1918	Barbados, British West Indies	Korona
